song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
"Another Brick in the Wall, Pt. 2",Pink Floyd,4gMgiXfqyzZLMhsksGmbQV,76,0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,audio_features,4gMgiXfqyzZLMhsksGmbQV,spotify:track:4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV,238747,4
Treaty (Radio Mix),Yothu Yindi,1WvO9c6UokTaCFLk76f07H,0,0.701,0.952,4,-4.891,0,0.0507,2.56e-05,0.00121,0.354,0.767,122.288,audio_features,1WvO9c6UokTaCFLk76f07H,spotify:track:1WvO9c6UokTaCFLk76f07H,https://api.spotify.com/v1/tracks/1WvO9c6UokTaCFLk76f07H,https://api.spotify.com/v1/audio-analysis/1WvO9c6UokTaCFLk76f07H,243080,4
American Pie,Don McLean,2QgWuCtBpNIpl5trmKCxRf,65,0.526,0.509,7,-10.893,1,0.0628,0.6,0.0,0.144,0.497,138.318,audio_features,2QgWuCtBpNIpl5trmKCxRf,spotify:track:2QgWuCtBpNIpl5trmKCxRf,https://api.spotify.com/v1/tracks/2QgWuCtBpNIpl5trmKCxRf,https://api.spotify.com/v1/audio-analysis/2QgWuCtBpNIpl5trmKCxRf,515867,4
Nothing Compares 2 U,Sinéad O'Connor,3nvuPQTw2zuFAVuLsC9IYQ,2,0.511,0.574,5,-7.016,1,0.0273,0.0425,2.33e-05,0.105,0.161,119.917,audio_features,3nvuPQTw2zuFAVuLsC9IYQ,spotify:track:3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/tracks/3nvuPQTw2zuFAVuLsC9IYQ,https://api.spotify.com/v1/audio-analysis/3nvuPQTw2zuFAVuLsC9IYQ,280040,4
You're So Vain,Carly Simon,2DnJjbjNTV9Nd5NOa1KGba,76,0.66,0.68,0,-8.18,1,0.0313,0.153,6.7e-06,0.0784,0.671,106.187,audio_features,2DnJjbjNTV9Nd5NOa1KGba,spotify:track:2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/tracks/2DnJjbjNTV9Nd5NOa1KGba,https://api.spotify.com/v1/audio-analysis/2DnJjbjNTV9Nd5NOa1KGba,258411,4
All Along the Watchtower,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f,75,0.438,0.805,8,-6.237,1,0.0624,0.00255,5.69e-05,0.0842,0.564,113.253,audio_features,2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,https://api.spotify.com/v1/audio-analysis/2aoo2jlRnM3A0NyLQqMN2f,240800,4
Good Riddance (Time of Your Life),Green Day,6ORqU0bHbVCRjXm9AjyHyZ,79,0.475,0.432,7,-7.844,1,0.0302,0.183,0.0,0.161,0.648,94.605,audio_features,6ORqU0bHbVCRjXm9AjyHyZ,spotify:track:6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,https://api.spotify.com/v1/audio-analysis/6ORqU0bHbVCRjXm9AjyHyZ,153467,4
Call Me,Blondie,0vLwL4xuJ3s7SeaCdvMqkY,57,0.551,0.628,2,-13.799,1,0.036,0.0327,0.000199,0.153,0.778,142.169,audio_features,0vLwL4xuJ3s7SeaCdvMqkY,spotify:track:0vLwL4xuJ3s7SeaCdvMqkY,https://api.spotify.com/v1/tracks/0vLwL4xuJ3s7SeaCdvMqkY,https://api.spotify.com/v1/audio-analysis/0vLwL4xuJ3s7SeaCdvMqkY,212893,4
Uptown Funk (feat. Bruno Mars),Mark Ronson,32OlwWuMpZ6b0aN2RZOeMS,84,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
Uptown Funk (feat. Bruno Mars),Bruno Mars,32OlwWuMpZ6b0aN2RZOeMS,84,0.856,0.609,0,-7.223,1,0.0824,0.00801,8.15e-05,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
Blame It on the Boogie,The Jacksons,2Cm7WEVdiXiWSjfEBHFtRu,43,0.774,0.747,8,-7.302,1,0.0928,0.0671,0.0,0.112,0.881,113.298,audio_features,2Cm7WEVdiXiWSjfEBHFtRu,spotify:track:2Cm7WEVdiXiWSjfEBHFtRu,https://api.spotify.com/v1/tracks/2Cm7WEVdiXiWSjfEBHFtRu,https://api.spotify.com/v1/audio-analysis/2Cm7WEVdiXiWSjfEBHFtRu,210373,4
You Can Call Me Al,Paul Simon,0qxYx4F3vm1AOnfux6dDxP,76,0.776,0.763,5,-8.124,1,0.0534,0.182,0.00647,0.077,0.82,128.433,audio_features,0qxYx4F3vm1AOnfux6dDxP,spotify:track:0qxYx4F3vm1AOnfux6dDxP,https://api.spotify.com/v1/tracks/0qxYx4F3vm1AOnfux6dDxP,https://api.spotify.com/v1/audio-analysis/0qxYx4F3vm1AOnfux6dDxP,280000,4
Throw Your Arms Around Me,Hunters & Collectors,3T0ggmh35mdaTCXT2c0wkb,0,0.57,0.765,4,-5.782,1,0.0264,0.156,0.00528,0.317,0.93,112.966,audio_features,3T0ggmh35mdaTCXT2c0wkb,spotify:track:3T0ggmh35mdaTCXT2c0wkb,https://api.spotify.com/v1/tracks/3T0ggmh35mdaTCXT2c0wkb,https://api.spotify.com/v1/audio-analysis/3T0ggmh35mdaTCXT2c0wkb,233493,4
